timestamp,value,beta_kubernetes_io_arch,beta_kubernetes_io_os,cpu,id,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,minikube_k8s_io_commit,minikube_k8s_io_name,minikube_k8s_io_primary,minikube_k8s_io_updated_at,minikube_k8s_io_version,namespace,pod
1780609898,0.00717397763491952,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780609913,0.0077825241166123915,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780609928,0.007611175749190132,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780609943,0.005340663788451104,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780609958,0.005060286345349832,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780609973,0.004187281050955697,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780609988,0.004300305885232123,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610003,0.005109819464920357,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610018,0.005854543614140289,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610033,0.007536180185411748,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610048,0.00785261928184917,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610063,0.007668825386546189,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610078,0.007029374791554579,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780610093,0.007115167808516244,amd64,linux,total,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
