timestamp,value,__name__,beta_kubernetes_io_arch,beta_kubernetes_io_os,id,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,minikube_k8s_io_commit,minikube_k8s_io_name,minikube_k8s_io_primary,minikube_k8s_io_updated_at,minikube_k8s_io_version,namespace,pod
1780612078,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612093,9863168,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612108,9863168,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612123,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612138,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612153,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612168,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612183,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612198,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612213,9531392,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612228,9531392,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612243,9531392,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612258,9531392,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612273,9531392,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612288,9531392,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780612078,110170112,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612093,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612108,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612123,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612138,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612153,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612168,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612183,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612198,110170112,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612213,110170112,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612228,110174208,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612243,110174208,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612258,110170112,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612273,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612288,110047232,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780612078,9572352,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612093,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612108,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612123,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612138,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612153,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612168,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612183,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612198,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612213,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612228,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612243,9523200,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780612258,9646080,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
